product_id,category,sub_category,main_title,colors
http://eu.puma.com/it/en/pd/afc-vent-thermo-r-stadium-jacket/750738.html,"[""Arsenal"",""Sports"",""Featured"",""Jackets"",""New Arrivals"",""Mens"",""Clothing""]","[""Arsenal"",""Sports"",""Featured"",""Jackets"",""New Arrivals"",""Mens"",""Clothing""]","
AFC Vent Thermo-R Stadium Jacket
","[""Ebony-Spectra Yellow"",""Peacoat-High Risk Red""]"
http://eu.puma.com/it/en/pd/alpha-backpack/074433.html,"[""Bags"",""Accessories"",""Mens"",""Featured"",""New Arrivals"",""Womens"",""Backpacks""]","[""Bags"",""Accessories"",""Mens"",""Featured"",""New Arrivals"",""Womens"",""Backpacks""]","
Alpha Backpack
","[""Puma Black-speckle"",""TRUE BLUE-speckle"",""Rose Violet-speckle""]"
http://eu.puma.com/it/en/pd/alpha-gym-bag/074407.html,"[""Bags"",""Accessories"",""Mens"",""Featured"",""New Arrivals"",""Womens"",""Backpacks""]","[""Bags"",""Accessories"",""Mens"",""Featured"",""New Arrivals"",""Womens"",""Backpacks""]","
Alpha Gym Bag
","[""Puma Black-speckle"",""TRUE BLUE-speckle"",""Rose Violet-speckle""]"
http://eu.puma.com/it/en/pd/archive-football-stars-and-stripes-t-shirt/570819.html,"[""T-Shirts \u0026 Tops"",""Clothing"",""Mens""]","[""T-Shirts \u0026 Tops"",""Clothing"",""Mens""]","
Archive Football Stars and Stripes T-Shirt
","[""surf the web""]"
http://eu.puma.com/it/en/pd/archive-logo-mens-fleece-sweater/571516.html,"[""Mens""]","[""Mens""]","
Archive Logo Men's Fleece Sweater
","[""Peacoat""]"
http://eu.puma.com/it/en/pd/archive-logo-mens-t-shirt/571513.html,"[""T-Shirts \u0026 Tops"",""Clothing"",""Mens""]","[""T-Shirts \u0026 Tops"",""Clothing"",""Mens""]","
Archive Logo Men's T-Shirt
","[""Barbados Cherry"",""Cotton Black""]"
http://eu.puma.com/it/en/pd/archive-logo-womens-t-shirt/571286.html,"[""Womens"",""Clothing"",""T-Shirts \u0026 Tops""]","[""Womens"",""Clothing"",""T-Shirts \u0026 Tops""]","
Archive Logo Women's T-Shirt
","[""Light Gray Heather"",""Fuchsia Purple""]"
http://eu.puma.com/it/en/pd/archive-mens-bball-full-zip-fleece-hoodie/571617.html,"[""Sweatshirts \u0026 Hoodies"",""Clothing"",""Mens""]","[""Sweatshirts \u0026 Hoodies"",""Clothing"",""Mens""]","
Archive Men's Bball Full Zip Fleece Hoodie
","[""Cotton Black""]"
http://eu.puma.com/it/en/pd/archive-mens-bball-t-shirt/571612.html,"[""Mens"",""Clothing"",""T-Shirts \u0026 Tops""]","[""Mens"",""Clothing"",""T-Shirts \u0026 Tops""]","
Archive Men's Bball T-Shirt
","[""Puma Black"",""Puma White"",""Peacoat""]"
http://eu.puma.com/it/en/pd/archive-mens-colour-block-bball-shirt/572662.html,"[""New Arrivals"",""Featured"",""Mens"",""Clothing"",""T-Shirts \u0026 Tops""]","[""New Arrivals"",""Featured"",""Mens"",""Clothing"",""T-Shirts \u0026 Tops""]","
Archive Men's Colour Block Bball Shirt
","[""Puma White"",""TWILIGHT BLUE""]"
